x,y
1924473.8126756512,967707.3778565276
1924473.818136072,967707.4420763353
1924473.8229011446,967707.5057570938
1924473.8261888605,967707.5439960867
1924473.8308481404,967707.5949480935
1924473.8359980383,967707.6526271809
1924473.8408154906,967707.7161224774
1924473.8456314264,967707.7666418727
1924473.8509913187,967707.8301392612
1924473.8557048938,967707.8937785611
1924473.860240207,967707.9500731061
1924473.8639178523,967708.0010419482
1924473.8684770828,967708.0645156152
1924473.8736353554,967708.126712575
1924473.8793637308,967708.1884372607
1924473.8822923768,967708.2260147252
1924473.888125112,967708.2941555621
1924473.8940075152,967708.3561283979
1924473.8994012154,967708.417562977
1924473.9056471554,967708.4790421091
1924473.910418931,967708.5276221702
1924473.9161741761,967708.5823948521
1924473.922242179,967708.6431306358
1924473.9270633832,967708.6922885096
1924473.935221656,967708.7669159626
1924473.9418764256,967708.8295519217
1924473.9459916768,967708.86754656
1924473.9536746396,967708.938170071
1924473.9604761025,967709.0029520576
1924473.9676932385,967709.0671167637
1924473.9737432245,967709.1191468734
1924473.9802367177,967709.183411931
1924473.9864704688,967709.24136339
1924473.9932982388,967709.3060216974
1924473.9982918901,967709.3573463236
1924474.0041404974,967709.4213819662
1924474.0100682734,967709.484984694
1924474.0132537931,967709.5229344823
1924474.01957094,967709.5927275395
1924474.0252458306,967709.6549264916
1924474.0307140015,967709.7171452771
1924474.0359982497,967709.7801678962
1924474.0396547008,967709.8299401511
1924474.0440599984,967709.8864611129
1924474.0500399948,967709.9499196372
1924474.0543936314,967710.0131243261
1924474.0552998532,967710.0259386875
1924474.0590541263,967710.0771347482
1924474.0634797565,967710.1417631436
1924474.0672354682,967710.1992718043
1924474.0699306983,967710.250463774
1924474.0736318794,967710.3153988081
1924474.0765331988,967710.3801038321
1924474.0795617567,967710.4453044501
1924474.0819439094,967710.4839318997
1924474.0849731881,967710.5556307876
1924474.0874070888,967710.6209735144
1924474.089894885,967710.6857388245
1924474.091864558,967710.7508940948
1924474.0932394883,967710.8028442491
1924474.0943082846,967710.8604869314
1924474.0951952336,967710.9250810236
1924474.0960333922,967710.9889322681
1924474.0968154226,967711.0405706873
1924474.0980946918,967711.103907901
1924474.0989043058,967711.1550925825
1924474.0995850898,967711.2128781726
1924474.1002944217,967711.2900142568
1924474.1011045165,967711.3410751597
1924474.1023027892,967711.4053197535
1924474.1021585984,967711.4693734951
1924474.102396516,967711.5147591024
1924474.1030751537,967711.5797856087
1924474.103259505,967711.6457178945
1924474.1037028811,967711.7114655155
1924474.1031139158,967711.7769822278
1924474.1033732775,967711.8168186091
1924474.1024492388,967711.8888322874
1924474.102218207,967711.9018279198
1924474.1019391222,967711.9539986048
1924474.101120795,967712.0187098806
1924474.0999893073,967712.0708772718
1924474.0978129234,967712.1929124156
1924474.0977963738,967712.2573586099
1924474.0965677067,967712.3079371623
1924474.0948478675,967712.3719848142
1924474.0933891255,967712.4353114465
1924474.091993999,967712.4955439148
1924474.0905870674,967712.5454616369
1924474.0897032912,967712.6070576202
1924474.0881959172,967712.6696001507
1924474.0870016979,967712.7313187128
1924474.086578158,967712.7807657567
1924474.0848356774,967712.8373042189
1924474.08250189,967712.8998022965
1924474.0807813313,967712.9506677587
1924474.0801907473,967712.963125635
1924474.0790609224,967712.9881241091
1924474.0771349974,967713.0386587068
1924474.0758067651,967713.1016351436
1924474.073624052,967713.1584607171
1924474.0710539604,967713.2085802394
